# IATA	 FR Name / Nom FR	 EN name / Nom EN	 Province	 AUTO/MAN	Latitude	Longitude	 Elevation (m)	 # ICAO	# WMO	# Climate / Climat	DST Time Zone / Fuseau horaire été	 STD Time Zone / Fuseau horaire heure normale
YQM	Aéroport int. du Grand Moncton	Greater Moncton Int'l Airport	NB	Manned	46.112222	-64.678611	70.7	CYQM	71705	8103201	ADT	AST
AKC	Kouchibouguac	Kouchibouguac	NB	Auto	46.769611	-65.006583	34	CAKC	71670	8102328	ADT	AST
AMS	Mechanic Settlement	Mechanic Settlement	NB	Auto	45.693622	-65.165011	403	CAMS	71787	8102848	ADT	AST
ACQ	Miramichi	Miramichi	NB	Auto	47.009444	-65.465	33	CACQ	71744	8100989	ADT	AST
WMI	Miscou Island	Miscou Island	NB	Auto	48.008889	-64.494169	4	CWMI	71719	8103050	ADT	AST
WPE	Point Lepreau	Point Lepreau	NB	Auto	45.073067	-66.449192	6	CWPE	71699	8104201	ADT	AST
ARP	Red Pines	Red Pines	NB	Auto	47.439444	-65.597778	124	CARP	71634	8104295	ADT	AST
YSJ	Aéroport de Saint John	Saint John Airport	NB	Manned	45.316111	-65.89	108.8	CYSJ	71609	8104901	ADT	AST
WIY	St. Leonard	St. Leonard	NB	Auto	47.157792	-67.831948	245	CWIY	71019	810I001	ADT	AST
YSL	Aéroport de St. Leonard	St. Leonard Airport	NB	Manned	47.157792	-67.831948	242.2	CYSL	71703	8104928	ADT	AST
WSS	St. Stephen	St. Stephen	NB	Auto	45.210167	-67.252861	26.1	CWSS	71607	8104935	ADT	AST
AFL			NL	Auto	53.557778	-64.093889	439.5	CAFL		8501130	NDT	NST
WAR	Argentia	Argentia	NL	Auto	47.293889	-53.993333	19	CWAR	71807	8400104	NDT	NST
WDI	Badger	Badger	NL	Auto	48.966667	-56.066667	102.7	CWDI	71400	8400301	NDT	NST
AVA	Bonavista	Bonavista	NL	Auto	48.667222	-53.114167	25.6	CAVA	71178	8400601	NDT	NST
ABF	Burgeo	Burgeo	NL	Auto	47.616667	-57.616667	10.6	CABF	71152	8400801	NDT	NST
YYR	BFC Goose Bay	CFB Goose Bay	NL	Manned	53.316667	-60.416667	48.8	CYYR	71816	8501900	ADT	AST
WKW	Cape Kakkiviak	Cape Kakkiviak	NL	Auto	59.985	-64.165	551.1	CWKW	71176	8500920	ADT	AST
WYK	Cape Kiglapait	Cape Kiglapait	NL	Auto	57.135833	-61.475556	834.1	CWYK	71177	8500926	ADT	AST
WRA	Cape Race	Cape Race	NL	Auto	46.66	-53.076389	26.5	CWRA	71800	8401000	NDT	NST
WCA	Aéroport de Cartwright	Cartwright Airport	NL	Manned	53.708333	-57.035	14.3	CWCA	71818	8501100	ADT	AST
ZUM	Churchill Falls	Churchill Falls	NL	Auto	53.561944	-64.106389	439.5	CZUM	71002	8501131	ADT	AST
ACM	Cormack	Cormack	NL	Auto	49.321953	-57.393336	165.8	CACM	71367	8401295	NDT	NST
WKB	Corner Brook	Corner Brook	NL	Auto	48.933333	-57.916667	151.8	CWKB	71973	8401298	NDT	NST
WDH	Daniel's Harbour	Daniel's Harbour	NL	Auto	50.236389	-57.581111	19	CWDH	71185	8401400	NDT	NST
YDF	Aéroport de Deer Lake	Deer Lake Airport	NL	Manned	49.209167	-57.394444	21.9	CYDF	71809	8401502	NDT	NST
WDA	Englee	Englee	NL	Auto	50.721111	-56.112778	30.3	CWDA	71417	8401538	NDT	NST
WXI	Ferolle Point	Ferolle Point	NL	Auto	51.016667	-57.1	5.8	CWXI	71406	8401565	NDT	NST
XGD	Gander	Gander	NL	Auto	48.946111	-54.566944	151	CXGD	71742	8401705	NDT	NST
YQX	Aéroport int. de Gander	Gander Int'l Airport	NL	Manned	48.936944	-54.568056	151.2	CYQX	71803	8401703	NDT	NST
WVW	Grates Cove	Grates Cove	NL	Auto	48.171944	-52.939167	46.2	CWVW	71336	840B053	NDT	NST
WHO	Hopedale	Hopedale	NL	Auto	55.45	-60.216667	11.9	CWHO	71900	8502400	ADT	AST
WAG	La Scie	La Scie	NL	Auto	49.916667	-55.666667	194	CWAG	71337	8402520	NDT	NST
WWU	Long Pond	Long Pond	NL	Manned	47.515833	-52.980278	12.5	CWWU		840N001	NDT	NST
YFT	Aéroport de Makkovik	Makkovik Airport	NL	Manned	55.082222	-59.188611	70.4	CYFT		8502NHR	ADT	AST
WTM	Marticot Island	Marticot Island	NL	Auto	47.328334	-54.585278	21.8	CWTM	71692	840KN90	ADT	AST
YMH	Mary's Harbour	Mary's Harbour	NL	Manned	52.302778	-55.083348	10.7	CYMH		8502590	NDT	NST
YMH	Mary's Harbour	Mary's Harbour	NL	Auto	52.302778	-55.847778	10.6	CYMH	71339	8502592	NDT	NST
AMR	Millertown	Millertown	NL	Auto	48.8167	-56.543526	203.6	CAMR	71856	8402757	NDT	NST
WFP	Nain	Nain	NL	Auto	56.55	-61.683333	7.6	CWFP	71665	8502799	ADT	AST
YDP	Aéroport de Nain	Nain Airport	NL	Manned	56.55	-61.683333	6.7	CYDP	71902	8502800	ADT	AST
