# IATA	 FR Name / Nom FR	 EN name / Nom EN	 Province	 AUTO/MAN	Latitude	Longitude	 Elevation (m)	 # ICAO	# WMO	# Climate / Climat	DST Time Zone / Fuseau horaire été	 STD Time Zone / Fuseau horaire heure normale
YEK	Aéroport d'Arviat	Arviat Airport	NU	Manned	61.093889	-94.071667	10.4	CYEK		2300428	CDT	CST
YEK	Aéroport d'Arviat	Arviat Airport	NU	Auto	61.093889	-94.071667	10.4	CYEK	71174	2300427	CDT	CST
XBL	Baker Lake	Baker Lake	NU	Auto	64.316667	-96	50.8	CXBL	71356	2300501	CDT	CST
YBK	Aéroport de Baker Lake	Baker Lake Airport	NU	Manned	64.298889	-96.077778	18.6	CYBK	71926	2300503	CDT	CST
NBI	Bathurst Inlet	Bathurst Inlet	NU	Auto	66.837514	-108.014731	5	CNBI	71874	2300551	MDT	MST
WOB	Brevoort Island	Brevoort Island	NU	Auto	63.339722	-64.145833	376	CWOB	71097	2400565	EDT	EST
YLT	SFC Alert	CFS Alert	NU	Manned	82.516667	-62.283333	30.5	CYLT		2400302	EDT	EST
WRF	Cam Four	Cam Four	NU	Auto	68.436944	-89.725833	328	CWRF	71918	2303093	CDT	CST
XCM	Cambridge Bay	Cambridge Bay	NU	Auto	69.108056	-105.138333	18.69	CXCM	71288	2400602	MDT	MST
YCB	Aéroport de Cambridge Bay	Cambridge Bay Airport	NU	Manned	69.108056	-105.138333	31.09	CYCB	71925	2400600	MDT	MST
NCD	Cape Dorset	Cape Dorset	NU	Auto	64.23075	-76.530444	50	CNCD	71575	2400636	EDT	EST
YTE	Aéroport de Cape Dorset	Cape Dorset Airport	NU	Auto	64.230278	-76.525	48.2	CYTE	71366	2400637	EDT	EST
YTE	Aéroport de Cape Dorset	Cape Dorset Airport	NU	Manned	64.230278	-79.525	48.2	CYTE		2400633	EDT	EST
WFD	Cape Dyer	Cape Dyer	NU	Mixed	66.65	-61.383333	725.1	CWFD	71094	2400650	EDT	EST
WUP	Cape Hooper	Cape Hooper	NU	Auto	68.4725	-66.815278	390.1	CWUP	71093	2400660	EDT	EST
NPL	Cape Liverpool	Cape Liverpool	NU	Auto	73.668064	-78.293353	2	CNPL		2400675	MDT	MST
WYM	Cape Mercy	Cape Mercy	NU	Auto	64.957778	-63.577778	582.6	CWYM	71975	2400F63	EDT	EST
WPX	Cape Peel West	Cape Peel West	NU	Auto	69.035833	-107.823056	165.3	CWPX	71064	2400697	MDT	MST
YCS	Aéroport de Chesterfield Inlet	Chesterfield Inlet Airport	NU	Manned	63.347222	-90.731111	9.8	CYCS		2300701	CDT	CST
YCY	Aéroport de Clyde	Clyde Airport	NU	Manned	70.485833	-68.516944	26.5	CYCY		2400803	EDT	EST
ZCY	Clyde River	Clyde River	NU	Auto	70.483333	-68.516667	26.5	CZCY	71358	2400802	EDT	EST
YCY	Aéroport de Clyde River	Clyde River Airport	NU	Auto	70.485833	-68.516944	26.5	CYCY	71090	2400804	EDT	EST
WTD	Consul Lake	Consul Lake	NU	Auto	65.099722	-102.429444	243.7	CWTD	71490	2303610	CDT	CST
YZS	Aéroport de Coral Harbour	Coral Harbour Airport	NU	Manned	64.193333	-83.359444	62.2	CYZS	71915	2301000	EST	EST
WXR	Croker River	Croker River	NU	Auto	69.275556	-119.218889	69.4	CWXR	71059	230J01Q	MDT	MST
WUW	Dewar Lakes	Dewar Lakes	NU	Auto	68.65	-71.166667	526.7	CWUW	71092	2401030	EDT	EST
WJC	Ennadai Lake	Ennadai Lake	NU	Auto	61.131944	-100.883889	353.1	CWJC	71923	2301102	MDT	MST
NEK	Eureka	Eureka	NU	Auto	79.989167	-85.933889	10	CNEK		2401199	CDT	CST
WEU	Aéroport d'Eureka	Eureka Airport	NU	Manned	79.983333	-85.933333	10.4	CWEU	71917	2401200	CDT	CST
NFR	Fort Ross	Fort Ross	NU	Auto	72.017794	-94.197783	10	CNFR	71629	2402051	EDT	EST
WVD	Fox Five	Fox Five	NU	Auto	67.535556	-63.788889	584.4	CWVD	71096	2400570	EDT	EST
NGH	Gateshead Island	Gateshead Island	NU	Auto	70.632778	-100.267222	20	CNGH	71141	2402332	MDT	MST
ZHK	Gjoa Haven	Gjoa Haven	NU	Auto	68.635556	-95.850278	42.3	CZHK	71363	2302340	MDT	MST
YHK	Aéroport de Gjoa Haven	Gjoa Haven Airport	NU	Auto	68.635556	-95.850278	46.9	CYHK	71597	2302337	MDT	MST
YHK	Aéroport de Gjoa Haven	Gjoa Haven Airport	NU	Manned	68.635556	-95.850278	46.9	CYHK		2302336	MDT	MST
NGC	Grise Fiord	Grise Fiord	NU	Auto	76.422789	-82.902228	44.5	CNGC	71971	2402351	EDT	EST
WGZ	Aéroport de Grise Fiord	Grise Fiord Airport	NU	Manned	76.416667	-82.9	42.67	CWGZ		2402346	EDT	EST
XUX	Hall Beach	Hall Beach	NU	Auto	68.776111	-81.243611	8.2	CXUX	71320	2402353	EDT	EST
YUX	Aéroport de Hall Beach	Hall Beach Airport	NU	Manned	68.775833	-81.2425	9.1	CYUX		2402356	EDT	EST
YUX	Aéroport de Hall Beach	Hall Beach Airport	NU	Auto	68.775833	-81.2425	9.1	CYUX	71293	2402354	EDT	EST
WIL	Hat Island	Hat Island	NU	Auto	68.318056	-100.086944	36.1	CWIL	71084	2302370	MDT	MST
YGT	Aéroport d`Igloolik	Igloolik Airport	NU	Manned	69.366667	-81.816667	52.74	CYGT		2402543	EDT	EST
XFB	Iqaluit	Iqaluit	NU	Auto	63.747222	-68.544444	33.5	CXFB	71321	2402592	EDT	EST
YFB	Aéroport d'Iqaluit	Iqaluit Airport	NU	Auto	63.75	-68.55	33.5	CYFB	71909	2402591	EDT	EST
YFB	Aéroport d'Iqaluit	Iqaluit Airport	NU	Manned	63.756667	-68.556111	33.5	CYFB		2402596	EDT	EST
WIC	Isachsen	Isachsen	NU	Auto	78.792223	-103.554447	58	CWIC	71074	2402604	CDT	CST
YLC	Aéroport de Kimmirut	Kimmirut Airport	NU	Manned	62.85	-69.883333	51.5	CYLC		240KFQJ	EDT	EST
NBB	Kugaaruk	Kugaaruk	NU	Auto	68.537517	-89.796394	15.8	CNBB	71407	2303094	MDT	MST
YBB	Aéroport de Kugaaruk	Kugaaruk Airport	NU	Manned	68.540556	-89.797222	15.54	CYBB		2303092	MDT	MST
NCO	Kugluktuk	Kugluktuk	NU	Auto	67.817223	-115.135278	22.6	CNCO	71332	2300904	MDT	MST
YCO	Aéroport de Kugluktuk	Kugluktuk Airport	NU	Manned	67.816667	-115.143889	22.601	CYCO	71938	2300902	MDT	MST
WLX	Longstaff Bluff	Longstaff Bluff	NU	Auto	68.898611	-75.140833	160.8	CWLX	71091	2402684	EDT	EST
WIJ	Lupin	Lupin	NU	Auto	65.755292	-111.245842	488	CWIJ	71470	230N002	MDT	MST
YXP	Aéroport de Pangnirtung	Pangnirtung Airport	NU	Auto	66.145	-65.713611	24	CYXP		2403054	EDT	EST
YXP	Aéroport de Pangnirtung	Pangnirtung Airport	NU	Manned	66.145	-65.713611	24.1	CYXP		2403051	EDT	EST
NDT	Pond Inlet	Pond Inlet	NU	Auto	72.693333	-77.9575	64.664	CNDT	71576	2403204	EDT	EST
YIO	Aéroport de Pond Inlet	Pond Inlet Airport	NU	Auto	72.689444	-77.968889	61.6	CYIO	71095	2403206	EDT	EST
YIO	Aéroport de Pond Inlet	Pond Inlet Airport	NU	Manned	72.689444	-77.968889	61.6	CYIO		2403205	EDT	EST
ZVM	Qikiqtarjuaq	Qikiqtarjuaq	NU	Auto	67.547417	-64.033444	6.4	CZVM	71357	2400573	EDT	EST
YVM	Aéroport de Qikiqtarjuaq	Qikiqtarjuaq Airport	NU	Manned	67.546667	-64.031667	4.9	CYVM		2400576	EDT	EST
YVM	Aéroport de Qikiqtarjuaq	Qikiqtarjuaq Airport	NU	Auto	67.546667	-64.031667	5.5	CYVM	71338	2400577	EDT	EST
YRT	Aéroport de Rankin Inlet	Rankin Inlet Airport	NU	Manned	62.810556	-92.114722	32.3	CYRT	71083	2303405	CDT	CST
ZRP	Rea Point	Rea Point	NU	Auto	75.376669	-105.715001	15	CZRP	71983	2403450	MDT	MST
YUT	Aéroport de Repulse Bay	Repulse Bay Airport	NU	Manned	66.520556	-86.224722	22.9	CYUT		2403491	CDT	CST
XRB	Resolute	Resolute	NU	Auto	74.715835	-94.983058	30	CXRB	71018	2403505	CDT	CST
YRB	Aéroport de Resolute	Resolute Airport	NU	Manned	74.716944	-94.969444	67.68	CYRB	71924	2403500	CDT	CST
WRH	Resolution Island	Resolution Island	NU	Auto	61.6	-64.633333	368.5	CWRH	71972	2403602	EDT	EST
WRX	Aéroport de Rowley Island	Rowley Island Airport	NU	Auto	69.083333	-79.033333	41	CWRX	71088	2403625	EDT	EST
YSK	Aéroport de Sanikiluaq	Sanikiluaq Airport	NU	Manned	56.535833	-79.246944	33.53	CYSK		2303667	EDT	EST
YUS	Aéroport de Shepherd Bay	Shepherd Bay Airport	NU	Auto	68.816667	-93.433333	42.7	CYUS	71911	2303685	MDT	MST
XSE	Stefansson Island	Stefansson Island	NU	Auto	73.765694	-105.295556	11	CXSE	71017	2403756	CDT	CST
NSG	Svartevaeg	Svartevaeg	NU	Auto	81.160833	-91.816406	72	CNSG	71872	2403833	CDT	CST
YYH	Aéroport de Taloyoak	Taloyoak Airport	NU	Manned	69.55	-93.583333	27.4	CYYH	71580	2403854	MDT	MST
WOW	EWS Southern Ontario ONT (AUT)	EWS Southern Ontario ONT (AUT)	ON	Auto	43.266667	-79.783333	0	CWOW		615S002	EDT	EST
TRY	Mono Centre	Mono Centre	ON	Auto	44.03225	-80.024447	436	CTRY	71098	6157000	EDT	EST
TNK	Porte est du parc Algonquin	Algonquin Park East Gate	ON	Auto	45.533333	-78.266667	397	CTNK	71581	6080192	EDT	EST
WYW	Armstrong	Armstrong	ON	Auto	50.293611	-88.905278	322.5	CWYW	71841	6040325	EDT	EST
YAM	Sault Ste. Marie Airport	Aéroport de Sault Ste. Marie	ON	Manned	46.485	-84.509722	192	CYAM	71260	6057591	EDT	EST
YQT	Thunder Bay Airport	Aéroport de Thunder Bay	ON	Auto	48.371944	-89.321667	199.3	CYQT	71072	6048260	EDT	EST
WCH	Atikokan	Atikokan	ON	Auto	48.761111	-91.628056	389.3	CWCH	71747	6020LPQ	CDT	EST
WRK	Bancroft	Bancroft	ON	Auto	45.071389	-77.878889	330.7	CWRK	71294	616I001	EDT	EST
TBT	Beatrice	Beatrice	ON	Auto	45.140278	-79.402778	297.2	CTBT	71694	6110607	EDT	EST
OTL	Big Trout Lake	Big Trout Lake	ON	Auto	53.816111	-89.891667	222.5	COTL	71208	6010740	CDT	CST
YTL	Aéroport de Big Trout Lake	Big Trout Lake Airport	ON	Auto	53.817778	-89.896944	222.5	CYTL	71675	6010735	CDT	CST
TBO	Brockville	Brockville	ON	Auto	44.635278	-75.748333	120.4	CTBO	71161	6100970	EDT	EST
WWB	Pont levant de Burlington	Burlington Lift Bridge	ON	Auto	43.3	-79.8	77.4	CWWB	71437	6151061	EDT	EST
YBN	BFC Borden	CFB Borden	ON	Auto	44.272222	-79.911667	222.5	CYBN	71534	611B002	EDT	EST
YWA	BFC Petawawa	CFB Petawawa	ON	Auto	45.95	-77.316667	130.1	CYWA	71625	6106396	EDT	EST
XTR	BFC Trenton	CFB Trenton	ON	Auto	44.1175	-77.518889	86.3	CXTR		6158872	EDT	EST
YTR	BFC Trenton	CFB Trenton	ON	Manned	44.116667	-77.533333	86.3	CYTR	71621	6158875	EDT	EST
XCA	Cameron Falls	Cameron Falls	ON	Auto	49.153889	-88.344722	232.6	CXCA	71291	6041110	EDT	EST
WCI	Caribou Island	Caribou Island	ON	Auto	47.333333	-85.833333	187	CWCI	71433	6041222	EDT	EST
YLD	Aéroport de Chapleau	Chapleau Airport	ON	Manned	47.82	-83.346667	448.056	CYLD	71642	6061361	EDT	EST
YCK	Chatham-Kent	Chatham-Kent	ON	Auto	42.305833	-82.0825	196.6	CYCK		6131414	EDT	EST
WNC	Cobourg	Cobourg	ON	Auto	43.95	-78.166667	77.7	CWNC	71431	6151684	EDT	EST
WCO	Collingwood	Collingwood	ON	Auto	44.5	-80.216667	179.8	CWCO	71270	6111792	EDT	EST
WWX	Île Cove	Cove Island	ON	Auto	45.333333	-81.733333	180.7	CWWX	71439	61219J2	EDT	EST
XDI	Delhi	Delhi	ON	Auto	42.866667	-80.55	231.7	CXDI	71573	6131983	EDT	EST
YHD	Aéroport de Dryden	Dryden Airport	ON	Auto	49.8275	-92.744167	412.7	CYHD	71527	6032125	CDT	CST
XEA	Ear Falls	Ear Falls	ON	Auto	50.630556	-93.221389	362.6	CXEA	71295	6012199	CDT	CST
TXR	Earlton	Earlton	ON	Auto	47.695	-79.848889	243.4	CTXR	71213	6072230	EDT	EST
YXR	Aéroport d'Earlton	Earlton Airport	ON	Auto	47.695	-79.848889	243.8	CYXR	71684	6072223	EDT	EST
XET	Egbert	Egbert	ON	Auto	44.233333	-79.783333	251	CXET	71296	6.11E+03	EDT	EST
ZEL	Elora	Elora	ON	Auto	43.65	-80.416667	376.4	CZEL	71352	6142286	EDT	EST
WAJ	Erieau	Erieau	ON	Auto	42.250115	-81.900144	178	CWAJ	71465	613KLLM	EDT	EST
TAG	Fort Frances	Fort Frances	ON	Auto	48.651111	-93.438889	342	CTAG	71962	6022474	EDT	EST
YER	Aéroport de Fort Severn	Fort Severn Airport	ON	Auto	56.018889	-87.676111	15.8	CYER	71099	6012501	EDT	EST
YGQ	Aéroport de Geraldton	Geraldton Airport	ON	Manned	49.782803	-86.930569	348.4	CYGQ	71834	6042716	EDT	EST
WGD	Goderich	Goderich	ON	Auto	43.766667	-81.716667	213.7	CWGD	71261	6122847	EDT	EST
TZE	Gore Bay Climat	Gore Bay Climate	ON	Auto	45.883333	-82.566667	188.6	CTZE	71956	6092920	EDT	EST
YZE	Aéroport de Gore Bay-Manitoulin	Gore Bay-Manitoulin Airport	ON	Auto	45.881667	-82.567222	189.89	CYZE		6092919	EDT	EST
WNL	Great Duck Island	Great Duck Island	ON	Auto	45.633333	-82.95	182.8	CWNL	71462	6093005	EDT	EST
TSB	Grand Sudbury	Greater Sudbury	ON	Auto	46.632247	-80.796133	348	CTSB	71733	6068145	EDT	EST
YSB	Aéroport du Grand Sudbury	Greater Sudbury Airport	ON	Manned	46.625556	-80.797778	348.4	CYSB	71730	6068153	EDT	EST
TGT	Guelph Turfgrass	Guelph Turfgrass	ON	Auto	43.55	-80.216667	325	CTGT	71833	6143089	EDT	EST
XHM	Hamilton	Hamilton	ON	Auto	43.291667	-79.908333	102	CXHM	71297	6153301	EDT	EST
YHM	Aéroport int. Munro de Hamilton	Hamilton Munro Int'l Airport	ON	Manned	43.173611	-79.935	237.7	CYHM	71263	6153193	EDT	EST
XHA	Harrow AAC	Harrow AAFC	ON	Auto	42.033333	-82.9	191	CXHA	71298	6133362	EDT	EST
XKA	Kapuskasing AAC	Kapuskasing AAFC	ON	Auto	49.406389	-82.443611	218	CXKA	71299	6073980	EDT	EST
YYU	Aéroport de Kapuskasing	Kapuskasing Airport	ON	Manned	49.413889	-82.4675	226.5	CYYU	71831	6073975	EDT	EST
XKE	Kemptville	Kemptville	ON	Auto	45	-75.633333	99.4	CXKE	71300	6104027	EDT	EST
TKR	Kenora	Kenora	ON	Auto	49.790556	-94.377778	412.7	CTKR	71151	6034073	CDT	CST
YQK	Aéroport de Kenora	Kenora Airport	ON	Manned	49.788333	-94.363056	409.7	CYQK	71850	6034076	CDT	CST
WBE	Killarney	Killarney	ON	Auto	45.966667	-81.483333	196.3	CWBE	71460	605DJ25	EDT	EST
TKG	Kingston	Kingston	ON	Auto	44.223333	-76.599444	93	CTKG	71820	6104142	EDT	EST
YGK	Aéroport de Kingston	Kingston Airport	ON	Manned	44.225833	-76.596667	92.4	CYGK		6104149	EDT	EST
XKI	Kirkland Lake	Kirkland Lake	ON	Auto	48.15	-80	324	CXKI	71301	6074211	EDT	EST
WGL	Lagoon City	Lagoon City	ON	Auto	44.547222	-79.216667	220.7	CWGL	71282	6114295	EDT	EST
XBI	Aéroport régional de Lac Simcoe	Lake Simcoe Regional Airport	ON	Auto	44.483333	-79.55	289	CXBI	71314	6117700	EDT	EST
TLS	Lake Superior Provincial Park	Lake Superior Provincial Park	ON	Auto	47.723056	-84.814167	400.623	CTLS	71640	6054425	EDT	EST
WLF	Lansdowne House	Lansdowne House	ON	Auto	52.196111	-87.936111	253.4	CWLF	71846	6014353	EDT	EST
YLH	Aéroport de Lansdowne House	Lansdowne House Airport	ON	Auto	52.195556	-87.934167	254.2	CYLH		6014351	EDT	EST
WKK	Little Flatland Island	Little Flatland Island	ON	Auto	49.69	-88.305833	261	CWKK	71468	6049470	EDT	EST
WSN	London	London	ON	Auto	43.033333	-81.15	278	CWSN	71622	6144478	EDT	EST
YXU	Aéroport int. de London	London Int'l Airport	ON	Manned	43.033056	-81.151111	278	CYXU	71623	6144473	EDT	EST
WPS	Long Point	Long Point	ON	Auto	42.566667	-80.05	175	CWPS	71464	6134F10	EDT	EST
YSP	Aéroport de Marathon	Marathon Airport	ON	Manned	48.755278	-86.344444	314.55	CYSP		6044962	EDT	EST
XZC	Moosonee	Moosonee	ON	Auto	51.291667	-80.618056	9.1	CXZC	71309	6075435	EDT	EST
YMO	Aéroport de Moosonee	Moosonee Airport	ON	Auto	51.291111	-80.607778	9.1	CYMO	71398	6075420	EDT	EST
WLS	Mount Forest	Mount Forest	ON	Auto	43.983333	-80.75	414.5	CWLS	71631	6145504	EDT	EST
YQA	Aéroport de Muskoka	Muskoka Airport	ON	Auto	44.974722	-79.303333	281.9	CYQA	71532	6115529	EDT	EST
ZMD	Aéroport de Muskrat Dam	Muskrat Dam Airport	ON	Auto	53.441389	-91.762778	277.7	CZMD	71678	6015026	EDT	EST
WNZ	Nagagami	Nagagami	ON	Auto	49.746833	-84.163694	264	CWNZ	71832	6075543	EDT	EST
YYB	Aéroport de North Bay	North Bay Airport	ON	Auto	46.363889	-79.424167	370.3	CYYB	71731	6085680	EDT	EST
YYB	Aéroport de North Bay	North Bay Airport	ON	Manned	46.363889	-79.424167	370.3	CYYB		6085701	EDT	EST
YOO	Aéroport municipal d'Oshawa	Oshawa Municipal Airport	ON	Auto	43.922778	-78.883345	139.9	CYOO	71697	6155875	EDT	EST
XOA	Ottawa AAC	Ottawa AAFC	ON	Auto	45.383333	-75.716667	79.2	CXOA	71063	6105978	EDT	EST
YOW	Aéroport int. Macdonald-Cartier d'Ottawa	Ottawa Macdonald-Cartier Int'l Airport	ON	Manned	45.316667	-75.666667	114	CYOW	71628	6106001	EDT	EST
WWN	Peawanuck	Peawanuck	ON	Auto	54.983333	-85.433333	52.7	CWWN	71434	6016295	CDT	CST
TPM	Pembroke	Pembroke	ON	Auto	45.860278	-77.252222	161	CTPM	71196	6106367	EDT	EST
YPQ	Aéroport municipal de Peterborough	Peterborough Municipal Airport	ON	Auto	44.23	-78.363333	191.4	CYPQ	71436	6166415	EDT	EST
TPQ	Peterborough Trent U	Peterborough Trent U	ON	Auto	44.35	-78.3	216	CTPQ	71672	6166456	EDT	EST
WPL	Pickle Lake	Pickle Lake	ON	Auto	51.449167	-90.21778	390.8	CWPL	71835	6016525	EST	EST
YPL	Aéroport de Pickle Lake	Pickle Lake Airport	ON	Auto	51.446389	-90.214167	386.2	CYPL		6016528	EST	EST
YPL	Aéroport de Pickle Lake	Pickle Lake Airport	ON	Manned	51.446389	-90.214167	386.2	CYPL	71845	6016529	EST	EST
XPT	Pointe-Pelée	Point Pelee	ON	Auto	41.948614	-82.518889	176.8	CXPT	71303	613P001	EDT	EST
WQP	Point Petre	Point Petre	ON	Auto	43.833333	-77.15	78.6	CWQP	71430	6156559	EDT	EST
WPC	Port Colborne	Port Colborne	ON	Auto	42.866667	-79.25	183.5	CWPC	71463	613F606	EDT	EST
WWZ	Port Weller	Port Weller	ON	Auto	43.25	-79.216667	79	CWWZ	71432	6136699	EDT	EST
XPC	Parry Sound Harbour	Port de Parry Sound	ON	Auto	45.344167	-80.044167	176.3	CXPC	71172	6116257	EDT	EST
WCJ	Parc national Pukaskwa	Pukaskwa National Park	ON	Auto	48.607778	-86.287222	191.5	CWCJ	71750	6046768	EDT	EST
TRA	Rawson Lake	Rawson Lake	ON	Auto	49.664167	-93.732778	435	CTRA		6036907	CDT	CST
YRL	Aéroport de Red Lake	Red Lake Airport	ON	Auto	51.067222	-93.793056	385.9	CYRL		6016971	CDT	CST
YRL	Aéroport de Red Lake	Red Lake Airport	ON	Manned	51.067222	-93.793056	385.9	CYRL	71854	6016970	CDT	CST
YKF	Aéroport int. de la Région de Waterloo	Region of Waterloo Int'l Airport	ON	Auto	43.460833	-80.378611	321.6	CYKF	71368	6144239	EDT	EST
XRG	Ridgetown	Ridgetown	ON	Auto	42.45	-81.883333	205.7	CXRG	71307	6137154	EDT	EST
WTX	Royal Island	Royal Island	ON	Auto	49.468611	-94.763056	329	CWTX		6037201	CDT	CST
ZSJ	Aéroport de Sandy Lake	Sandy Lake Airport	ON	Auto	53.064167	-93.344444	289.9	CZSJ	71587	6017401	CDT	CST
TZR	Sarnia	Sarnia	ON	Auto	43	-82.3	181	CTZR	71746	6127519	EDT	EST
YZR	Aéroport Chris Hadfield de Sarnia	Sarnia Chris Hadfield Airport	ON	Auto	42.999444	-82.308889	181.4	CYZR	71704	6127510	EDT	EST
YXL	Aéroport de Sioux Lookout	Sioux Lookout Airport	ON	Manned	50.114167	-91.908056	383.1	CYXL	71842	6037776	CDT	CST
WNB	Southeast Shoal	Southeast Shoal	ON	Auto	41.833333	-82.466667	195.3	CWNB	71466	6137937	EDT	EST
YSN	Aéroport de St. Catharines	St. Catharines Airport	ON	Manned	43.191667	-79.171667	97.8	CYSN	71262	6137286	EDT	EST
ZTB	Thunder Bay	Thunder Bay	ON	Auto	48.369444	-89.327222	199.4	CZTB	71667	6048268	EDT	EST
YQT	Aéroport de Thunder Bay	Thunder Bay Airport	ON	Manned	48.371944	-89.321667	199.3	CYQT		6048262	EDT	EST
TMS	Timmins	Timmins	ON	Auto	48.557222	-81.390278	294.4	CTMS	71193	6078282	EDT	EST
YTS	Aéroport Victor Power de Timmins	Timmins Victor Power Airport	ON	Manned	48.570556	-81.376667	294.7	CYTS	71739	6078286	EDT	EST
TTR	Tobermory	Tobermory	ON	Auto	45.233333	-81.633333	213.5	CTTR	71767	6128330	EDT	EST
YKZ	Aéroport municipal de Toronto Buttonville	Toronto Buttonville Municipal Airport	ON	Manned	43.862222	-79.37	198.1	CYKZ	71639	615HMAK	EDT	EST
YTZ	Aéroport du centre-ville de Toronto	Toronto City Centre Airport	ON	Auto	43.6275	-79.396111	76.8	CYTZ	71265	6158359	EDT	EST
XTO	Toronto centre-ville	Toronto Downtown	ON	Auto	43.666667	-79.4	112.5	CXTO	71508	6158355	EDT	EST
YYZ	Aéroport int. Pearson de Toronto	Toronto Pearson Int'l Airport	ON	Manned	43.676667	-79.630556	173.4	CYYZ	71624	6158731	EDT	EST
WDV	Upsala	Upsala	ON	Auto	49.033333	-90.466667	488.5	CWDV	71435	6049095	CDT	CST
TUX	Uxbridge	Uxbridge	ON	Auto	44.098333	-79.163617	325	CTUX	71932	6159123	EDT	EST
XVN	Vineland Station	Vineland Station	ON	Auto	43.183333	-79.4	79.2	CXVN	71171	6139148	EDT	EST
WXZ	Wawa	Wawa	ON	Auto	47.966667	-84.783333	287.1	CWXZ		6059408	EDT	EST
YXZ	Aéroport de Wawa	Wawa Airport	ON	Manned	47.966667	-84.783333	287.1	CYXZ	71738	6059D09	EDT	EST
WEC	Welcome Island	Welcome Island	ON	Auto	48.369167	-89.119444	211.4	CWEC	71751	6049443	EDT	EST
TWL	Welland-Pelham	Welland-Pelham	ON	Auto	42.966667	-79.333333	178	CTWL	71752	6139449	EDT	EST
WMZ	Western Islands	Western Islands	ON	Auto	45.033333	-80.366667	191.1	CWMZ	71438	6119M51	EDT	EST
YVV	Aéroport de Wiarton	Wiarton Airport	ON	Manned	44.745833	-81.107222	222.2	CYVV	71633	6119500	EDT	EST
YQG	Aéroport de Windsor	Windsor Airport	ON	Manned	42.275556	-82.955556	189.6	CYQG	71538	6139525	EDT	EST
YYG	Aéroport de Charlottetown	Charlottetown Airport	PE	Manned	46.289167	-63.119167	48.5	CYYG	71706	8300301	ADT	AST
WEP	East Point	East Point	PE	Auto	46.46	-61.988333	7.7	CWEP	71412	8300418	ADT	AST
AHR	Harrington AAC	Harrington AAFC	PE	Auto	46.343617	-63.169736	53	CAHR	71350	830P001	ADT	AST
XMP	Maple Plains	Maple Plains	PE	Auto	46.3028	-63.575567	45.7	CXMP		8305500	ADT	AST
WNE	North Cape	North Cape	PE	Auto	47.058056	-63.998611	7.6	CWNE	71987	8300516	ADT	AST
ZSP	St. Peters	St. Peters	PE	Auto	46.450278	-62.575833	29.7	CZSP	71310	8300562	ADT	AST
ANH	Stanhope	Stanhope	PE	Auto	46.416389	-63.083056	3	CANH		8300590	ADT	AST
WSD	Summerside	Summerside	PE	Auto	46.441111	-63.838056	12.2	CWSD	71702	8300596	ADT	AST
MJK	Inukjuak Quebec	Inukjuak Quebec	QC	Auto	58.471944	-78.076944	26.21	CMJK	71907	710S005	EDT	EST
GRQ	Trois-Rivieres Quebec	Trois-Rivieres Quebec	QC	Auto	46.366667	-72.683333	62.2	CGRQ	71729	7018563	EDT	EST
MUS	Lac Megantic	Lac Megantic	QC	Auto	45.6	-70.883333	460.3	CMUS		7023680	EDT	EST
MOB	Observation	Observation	QC	Auto	48.5685	-65.2025	525	CMOB		7055723	EDT	EST
MRO	Rouge Matawin	Rouge Matawin	QC	Auto	46.658	-74.512667	510	CMRO		7036699	EDT	EST
MED	Edouard	Edouard	QC	Auto	47.647221	-72.290558	366	CMED		7012307	EDT	EST
MRT	Route 385 (Forestville)	Route 385 (Forestville)	QC	Auto	48.855835	-69.097778	168	CMRT		7046710	EDT	EST
MFX	Salluit QC	Salluit QC	QC	Auto	62.179446	-75.670279	228	CMFX	71641	7117800	EDT	EST
GAH	La Grande IV Quebec	La Grande IV Quebec	QC	Auto	53.757222	-73.678611	302.8	CGAH	71823	7093GJ5	EDT	EST
MQL	Akulivik	Akulivik	QC	Auto	60.83421	-78.16956	77	CMQL		7100070	EDT	EST
YKO	Aéroport d'Akulivik	Akulivik Airport	QC	Manned	60.816667	-78.15	23.16	CYKO		7100075	EDT	EST
WZS	Amqui	Amqui	QC	Auto	48.471944	-67.434722	166	CWZS	71386	7050145	EDT	EST
YLA	Aéroport d'Aupaluk	Aupaluk Airport	QC	Manned	59.302778	-69.599722	36.9	CYLA		7110LRJ	EDT	EST
WFW	Baie-Comeau	Baie-Comeau	QC	Auto	49.259167	-68.145833	129.5	CWFW	71829	704S001	EDT	EST
YBC	Aéroport de Baie-Comeau	Baie-Comeau Airport	QC	Auto	49.1325	-68.204444	21.6	CYBC	71691	7040444	EDT	EST
GBC	Baie-Comeau Climat	Baie-Comeau Climate	QC	Auto	49.133333	-68.2	21.6	CGBC	71890	7040442	EDT	EST
WHV	Beauceville	Beauceville	QC	Auto	46.205	-70.785	229.2	CWHV	71323	7028754	EDT	EST
XBO	Beauport	Beauport	QC	Auto	46.836944	-71.197222	10	CXBO	71578	7010565	EDT	EST
YBX	Aéroport de Blanc-Sablon	Blanc-Sablon Airport	QC	Manned	51.45	-57.183333	37.18	CYBX	71808	7040813	AST	AST
WKD	Bonnard	Bonnard	QC	Auto	50.728889	-71.013056	498	CWKD	71383	7060826	EDT	EST
YBG	BFC Bagotville	CFB Bagotville	QC	Manned	48.333333	-71	159.1	CYBG	71727	7060400	EDT	EST
